"","old score","sentence1","sentence2","label","score"
"0","4.5","گروهی از بچه ها در حیاط بازی می کنند و پیرمردی در پس زمینه ایستاده است","گروهی از پسران در حیاط بازی می کنند و مردی در پس زمینه ایستاده است","5","4"
"1","3.2","گروهی از کودکان در خانه مشغول بازی هستند و هیچ مردی در پس زمینه ایستاده نیست","گروهی از بچه ها در حیاط بازی می کنند و پیرمردی در پس زمینه ایستاده است","2","3"
"2","4.7","پسران جوان در فضای باز بازی می کنند و مرد در همان نزدیکی لبخند می زند","بچه ها در بیرون از خانه و در کنار یک مرد با لبخند بازی می کنند","4","5"
"3","3.4","بچه ها در بیرون از خانه و در کنار یک مرد با لبخند بازی می کنند","گروهی از بچه ها در حیاط بازی می کنند و پیرمردی در پس زمینه ایستاده است","2","3"
"4","3.7","پسران جوان در فضای باز بازی می کنند و مرد در همان نزدیکی لبخند می زند","گروهی از بچه ها در حیاط بازی می کنند و پیرمردی در پس زمینه ایستاده است","4","4"
"5","4","دو سگ با هم دعوا می کنند","دو سگ در حال کشتی گرفتن و در آغوش گرفتن هستند","3","4"
"6","3.4","دو نفر کیک بوکسینگ می کنند و تماشاگران تماشا نمی کنند","دو نفر در حال کیک بوکسینگ هستند و تماشاگران در حال تماشای آن هستند","4","3"
"7","4.9","دو زن جوان در یک مبارزه کیک بوکسینگ به مصاف هم می روند","دو زن در یک مسابقه کیک بوکسینگ به مصاف هم می روند","1","5"
"8","3.415","دو نفر در حال کیک بوکسینگ هستند و تماشاگران در حال تماشای آن هستند","دو زن جوان در یک مبارزه کیک بوکسینگ درگیری ندارند","5","3"
"9","3.7","دو زن در یک مسابقه کیک بوکسینگ به مصاف هم می روند","دو نفر کیک بوکسینگ می کنند و تماشاگران تماشا نمی کنند","5","4"
"10","4.4","سه پسر در حال پریدن در برگها هستند","سه بچه در حال پریدن در برگها هستند","5","4"
"11","3.8","سه بچه در برگها نشسته اند","سه بچه در حال پریدن در برگها هستند","2","4"
"12","3.5","کودکان با پیراهن قرمز در برگ ها بازی می کنند","سه بچه در برگها نشسته اند","2","4"
"13","4","کودکان با پیراهن قرمز در برگ ها بازی می کنند","سه بچه در حال پریدن در برگها هستند","2","4"
"14","4.1","دو کودک در برف دراز کشیده و مشغول ترسیم فرشته هستند","دو نفر با لباس برفی در برف دراز کشیده و فرشته های برفی می سازند","5","4"
